A (id),B (nombre),C (precio),D (categoria),E (descripcion),F (imagen)
44,Patacón con Hogao,15.000,Entradas,Crocante Patacón con hogao y carne desmechada,assets/imagenes/Entradas/img43.jpg
45,Salchipapa Americana,15.900,Entradas,,assets/imagenes/Entradas/img49.jpg
43,Coctel de Camarones,18.900,Entradas,Canasta Crocante de Platano con Camarones,assets/imagenes/Entradas/img40.jpg
47,Pechuga a la Plancha,22.900,Especiales Grille,Pechuga a la parrilla acompañada de papa criolla PIDELO CON Ensalada de la casa o Vegetales al wok,assets/imagenes/Especiales Grille/img63.jpg
46,Cerdo Tipacay,23.900,Especiales Grille,Cerdo con vegetales al wok ACOMPAÑADO DE papa a la Francesa,assets/imagenes/Especiales Grille/img53.jpg
49,Steak a la Parrilla,23.900,Especiales Grille,PIDELO CON Ensalada de la casa o Vegetales al wok,assets/imagenes/Especiales Grille/img66.jpg
93,Mini Churrasco,26.900,Especiales Grille,"Delicioso Corte de Chata. acompañado de Yuca y chimichurri, PIDELO con Ensalada de la casa o Vegetales al wok",assets/imagenes/Especiales Grille/img82.jpg
94,Pechuga en Salsa de Champiñones,28.900,Especiales Grille,Acompañado de yuca frita y ensalada de la Casa,assets/imagenes/Especiales Grille/img73.jpg
95,Pechuga Parmesana,28.900,Especiales Grille,"Acompañado de tomate, ensalada de la casa y papa francesa.",assets/imagenes/Especiales Grille/img70.jpg
48,Salteado del Atlántico,31.500,Especiales Grille,Cubos de Salmón salteados con vegetales al wok ACOMPAÑADOS con papa a la francesa,assets/imagenes/Especiales Grille/img60.jpg
91,Costillas BBQ,33.900,Especiales Grille,350gr de Deliciosas costillas de Cerdo. bañadas en salsa bbq. Acompañado de Aros de Cebolla. Papa Francesa y ensalada de la casa,assets/imagenes/Especiales Grille/img89.jpg
96,Punta de Anca,40.900,Especiales Grille,Acompañado de papa francesa. ensalada de aguacate y chimichurri,assets/imagenes/Especiales Grille/img95.jpg
89,Bife de Chorizo,41.900,Especiales Grille,Acompañado de papa francesa. ensalada de la casa y chimichurri,assets/imagenes/Especiales Grille/img79.jpg
